Order UTM campaign,Order UTM content,Order UTM medium,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,month_start,source_file
DTC_Hearty_Conv_Manual,DTC_HeartyK_Video_HkxJerry_3Dec_AM,DTC_Hearty_NewNonFoodAud,2,1280.83,0.0,0,1280.83,49,0,0,66.67,1396.5,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_BrandFilm_PDP_Dec10,DTC_SWF_Metros_BrandFilm,1,763.2,0.0,0,763.2,0,0,0,0.0,763.2,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Static_FeelingTheChill_Oct31,DTC_Winter'25_AllAboutPets,1,1524.58,0.0,0,1524.58,0,0,0,274.42,1799.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Static_Jackets-BoldStlyes_Dec09,DTC_Winter'25_AllAboutPets,1,2024.25,0.0,0,2024.25,0,0,0,0.0,2024.25,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_ASC_Catalogue_Oct1,DTC_Hearty_Catalogue_HUFTFrame_Oct01,DTC_Hearty_ASC_Cat_3P,1,2341.7,0.0,0,2341.7,0,0,0,421.5,2763.2,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Meowsi_Conv,DTC_Meowsi_Video_UTIinWinters_Dec29,DTC_Meowsi_LA-CatFood&Breeds,1,359.0,0.0,0,359.0,49,0,0,0.0,408.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Meowsi_Conv,DTC_MeowsiM_Video_P2CFtPallavi_July15,DTC_Meowsi_CatInt,1,233.0,0.0,0,233.0,49,0,0,0.0,282.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Sara.Treats_Conv_May'24,DTC_SaraTreats_Video_Lamb_Jerky_3_Dec_Am,DTC_SaraTreats_Travel&Dog,1,122.55,0.0,0,122.55,49,0,0,0.0,171.55,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_review_that_matters_dec19_AM,DTC_SWF_IndiaDogProducts,1,1925.56,0.0,0,1925.56,0,0,0,0.0,1925.56,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_Conv_Manual,DTC_HeartyB_Video_Poppins,DTC_Hearty_Conv_TopCitesPetFood,1,877.97,-27.42,0,850.55,0,0,0,67.55,918.1,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Hearty_Conv_Manual,DTC_HeartyK_Video_JaliHuiBread_N0v24,DTC_Hearty_NewNonFoodAud,1,1499.0,0.0,0,1499.0,0,0,0,0.0,1499.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Video_BrandFilm_Oct14,DTC_Winter'25_Lifestyle,1,1439.82,-127.11,0,1312.71,0,0,0,236.29,1549.0,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
