Order UTM medium,Order UTM campaign,Orders,Total sales,Gross sales,Net sales,Average order value,Orders (previous_period),Total sales (previous_period),Gross sales (previous_period),Net sales (previous_period),Average order value (previous_period),Orders (previous_period) ,Total sales (previous_period) ,Gross sales (previous_period) ,Net sales (previous_period) ,Average order value (previous_period) ,month_start,source_file,Orders (previous_month),Total sales (previous_month),Gross sales (previous_month),Net sales (previous_month),Average order value (previous_month),Orders (previous_month) ,Total sales (previous_month) ,Gross sales (previous_month) ,Net sales (previous_month) ,Average order value (previous_month) 
PMax,Pmax_Master_Catalog,0,0.0,0.0,0.0,,136.0,297053.22,297182.41,289237.9,2126.749,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Food_Pedigree,0,0.0,0.0,0.0,,14.0,28542.78,28585.94,27473.81,1962.415,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Dog_Food_Cat_Food_Farmina,0,0.0,0.0,0.0,,15.0,32812.13,33351.77,32178.03,2145.202,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Sara's_Treats,0,0.0,0.0,0.0,,82.0,62760.5,61162.82,59359.73,723.899,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Meowsi,0,0.0,0.0,0.0,,42.0,112913.38,114027.57,110829.02,2638.786,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Exact_BrandCore,1789,4069375.84,4058729.95,3956654.37,2211.656,1571.0,3973577.34,3960142.45,3851898.48,2451.876,13.876511775938893,2.41,2.489,2.719,-9.797,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Shopping,Shopping_Catch_All,1701,3137351.45,3118575.45,3040989.36,1787.765,1932.0,3568079.33,3562427.22,3460312.24,1791.051,-11.956521739130435,-12.071,-12.459,-12.118,-0.183,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
,Pmax_EOSS_Jan_2026,421,847210.85,841161.24,822375.1,1953.385,0.0,0.0,0.0,0.0,,,,,,,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
,Pmax_Sara's_New_Customer,281,618286.97,613410.46,598893.64,2131.294,355.0,818572.64,822959.2,799672.26,2252.597,-20.845070422535212,-24.467,-25.462,-25.107,-5.385,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Pmax,Pmax_Dog_Food_Other_Acana,144,419528.41,421340.05,409699.22,2845.133,127.0,293598.81,291774.04,284111.3,2237.096,13.385826771653544,42.891,44.406,44.203,27.179,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Pmax,Pmax_Dog_Food_Cat_Food_Other_Orijen,176,398724.1,394356.8,385058.64,2187.833,159.0,365280.78,363803.42,354045.36,2226.7,10.69182389937107,9.155,8.398,8.759,-1.745,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
PMax,PMax_Dog_Food_Other_Brands,96,270691.46,269659.64,264587.84,2756.123,73.0,215017.15,216798.49,211245.6,2893.775,31.506849315068493,25.892,24.382,25.251,-4.756,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Search,Search_Dog_Treats_HUFT_And_Sara's,147,257753.7,255970.09,249977.02,1700.523,123.0,227352.07,224893.04,219187.81,1782.014,19.51219512195122,13.372,13.818,14.046,-4.572,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
PMax,PMax_Dog_Food_Cat_Food_Other_Royal_Canin,83,235628.61,238450.93,232944.31,2806.557,101.0,264264.23,266736.14,258159.1,2556.03,-17.821782178217823,-10.835,-10.604,-9.767,9.801,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
PMax,Pmax_Dog_Treat_Sara's_and_HUFT,207,216915.28,212373.64,207089.56,1000.432,212.0,224116.3,218916.15,212944.55,1004.455,-2.358490566037736,-3.213,-2.988,-2.749,-0.4,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Search,Search__Farmina_Dog_Food_Cat_Food_Other,60,189431.72,189015.87,182064.61,3034.41,54.0,191648.88,197044.22,190204.81,3522.311,11.11111111111111,-1.156,-4.074,-4.279,-13.851,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Search,Search_Royal_Canin_Dog_Food_Cat_Food,58,166928.13,166674.33,161752.8,2788.841,108.0,347399.67,347804.2,337457.91,3124.61,-46.2962962962963,-51.949,-52.078,-52.067,-10.745,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Search,Search_All_Competitors,66,161851.2,161644.12,157759.1,2390.289,94.0,217169.97,216696.74,212465.71,2260.273,-29.78723404255319,-25.472,-25.405,-25.748,5.752,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
PMax,Pmax_Cat_Food_Other_Sheba_Whiskas,101,158764.58,161071.23,155306.6,1537.689,179.0,284355.81,287807.93,277338.47,1549.376,-43.57541899441341,-44.166,-44.035,-44.001,-0.754,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
Search,Search_Dog_Food_Hearty,60,158394.03,159398.17,155748.7,2595.811,51.0,171601.91,173083.5,168504.97,3304.019,17.647058823529413,-7.696,-7.906,-7.57,-21.434,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
PMax,Pmax_Dog_Treats_Other,67,157073.09,157367.02,152964.29,2283.049,191.0,426581.61,428033.23,416489.55,2180.573,-64.92146596858639,-63.178,-63.234,-63.272,4.699,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
,Pmax_Dog_Winter_collection,60,119104.16,118655.05,115638.67,1927.311,867.0,2040213.65,2034709.6,1980430.65,2284.233,-93.0795847750865,-94.162,-94.168,-94.16,-15.625,2026-01,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Jan 2026.csv,,,,,,,,,,
