"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks","CPC (cost per link click) (INR)","CTR (link click-through rate)","CTR (all)","CPC (all) (INR)","Clicks (all)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)","In-app purchase ROAS (return on ad spend)"
2026-01-01,2026-01-31,DTC_Summer_Sale_DCO_Conversions_May22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Raincoats_Old_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_SS_Collection_Conversion_May22,inactive,-,,,0,0,,4000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Kong_Wobbler_Toy_Conversions_May22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Catalog_Sales_Cross_Sell_Master_May22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Monsoon_Collection_Conversion_22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Schesir_Cat_Food_CS,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TOFU_Conv_CLH_Adv+,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Black_Friday_Sale_Nov22 Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Cross_Sell_Remarketing_Dec22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Puppy_Kit_Conversion_Dec22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ToFu_Dog_Food_Acana_Conv,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_TOFU_Conv_CLH_Int,inactive,-,,,0,0,,2000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ToFu_Prospecting_Outlet_Store,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Remarketing_catalog_Food,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Cross_sell_&_Up_Sell,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_RT_Customer_List,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dash_Dog_Sale_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Treats_Biscuits_Sales_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Yakies_Chew_Bone_19Feb22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Pedigree_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_Food_Royal_Canin_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_All_Conv_RM,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_QT_Range_Conversions,inactive,-,,,0,0,,4000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_CLH_Conversion_DCO_Mar22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Tofu_Monsoon_Conversion_22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Tofu_Monsoon_Conversion_22 - Copy",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Twinning_Collection_Conversion,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ToFu_Winter'23_Sale_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_Winter'23_Advantage+ Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Winter'23_ToFu_Sale_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Beds/Mats'23_ToFu_Sales_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_ToFu_B2G1_Sale_&_Consideration,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Huft_NonHUFT_Treats_Sales,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dash_Dog_Metros_Sales,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Sara_Conv_PP_Mar24,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Sara_Wholesome_Hindi_Cities_A/B,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_YIMT_Conv_PP,active,"7-day click",220,actions:offsite_conversion.fb_pixel_purchase,405715,2.626812,762.18836364,"Using ad set budget",0,167681.44,Ongoing,1065737,157.33848,6911,24.262978,0.648471,0.959336,16.400767,10224,0.761844,0.750176,0.011668
2026-01-01,2026-01-31,DTC_HUFT_Conv_RM,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC_YIMT_ASC_PP Campaign",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
